strategy_name,rank_test_score,mean_test_score,std_test_score,params
weighted_logistic_regression,1,0.7285993951461878,0.036744750298184324,"{'classifier__penalty': 'l2', 'classifier__C': 10.0}"
weighted_logistic_regression,2,0.7273619063230535,0.0372955977810939,"{'classifier__penalty': 'l2', 'classifier__C': 5.0}"
weighted_logistic_regression,3,0.7230209958901185,0.04276525538546375,"{'classifier__penalty': 'l1', 'classifier__C': 0.1}"
weighted_logistic_regression,4,0.7128340989817573,0.052226748792055126,"{'classifier__penalty': 'l2', 'classifier__C': 0.1}"
random_forest,1,0.8273038213356373,0.037986634571059164,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_depth': 10}"
random_forest,2,0.8239069618216958,0.0350357929315327,"{'n_estimators': 120, 'min_samples_leaf': 1, 'max_depth': 10}"
random_forest,3,0.8224994252030299,0.03231951242759885,"{'n_estimators': 120, 'min_samples_leaf': 2, 'max_depth': 14}"
random_forest,4,0.8206259787549696,0.029008338676812743,"{'n_estimators': 200, 'min_samples_leaf': 4, 'max_depth': 10}"
balanced_random_forest,1,0.7782838418547623,0.01344723104676729,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_depth': 8}"
balanced_random_forest,2,0.767750104973078,0.03161887473854735,"{'n_estimators': 120, 'min_samples_leaf': 1, 'max_depth': 8}"
balanced_random_forest,3,0.7452116271253105,0.034860304446515694,"{'n_estimators': 120, 'min_samples_leaf': 2, 'max_depth': 12}"
balanced_random_forest,4,0.7377051142358589,0.0584720229593606,"{'n_estimators': 200, 'min_samples_leaf': 4, 'max_depth': 8}"
smote_logistic_regression,1,0.7600372954750587,0.022809370891439047,"{'sampler__k_neighbors': 3, 'classifier__penalty': 'l2', 'classifier__C': 10.0}"
smote_logistic_regression,2,0.7556505104623533,0.02745555241523063,"{'sampler__k_neighbors': 5, 'classifier__penalty': 'l1', 'classifier__C': 1.0}"
smote_logistic_regression,3,0.7549699711650546,0.027069693470460485,"{'sampler__k_neighbors': 5, 'classifier__penalty': 'l1', 'classifier__C': 0.1}"
smote_logistic_regression,4,0.7525362540405132,0.025658659858814815,"{'sampler__k_neighbors': 3, 'classifier__penalty': 'l1', 'classifier__C': 0.1}"
